Deterministic Greedy
Threshold: 0.75
100-300-001.txt -> 0.2526639461517334
	quality average =0.9709999999999999
100-300-002.txt -> 0.2838623046875
	quality average =0.968
100-300-003.txt -> 0.2186046361923218
	quality average =0.998
100-300-004.txt -> 0.24414079189300536
	quality average =0.97
100-300-005.txt -> 0.27690131664276124
	quality average =0.95
100-300-006.txt -> 0.2643606424331665
	quality average =0.9600000000000002
100-300-007.txt -> 0.2893566608428955
	quality average =0.9600000000000002
100-300-008.txt -> 0.32213649749755857
	quality average =0.959
100-300-009.txt -> 0.2536339282989502
	quality average =0.9709999999999999
100-300-0010.txt -> 0.303315544128418
	quality average =0.9579999999999999
Threshold: 0.80
100-300-01.txt -> 1.2481948852539062
	quality average =0.39799999999999996
100-300-02.txt -> 1.1457192420959472
	quality average =0.44000000000000006
100-300-03.txt -> 1.1960674047470092
	quality average =0.39200000000000007
100-300-04.txt -> 1.2727689504623414
	quality average =0.328
100-300-05.txt -> 1.181445598602295
	quality average =0.40700000000000003
100-300-06.txt -> 1.2602874994277955
	quality average =0.3890000000000001
100-300-07.txt -> 1.1927244663238525
	quality average =0.3930000000000001
100-300-08.txt -> 1.2699166297912599
	quality average =0.35200000000000004
100-300-09.txt -> 1.1752202272415162
	quality average =0.40700000000000003
100-300-010.txt -> 1.1251001834869385
	quality average =0.45499999999999996
Threshold: 0.85
100-300-1.txt -> 1.4493665933609008
	quality average =0.0
100-300-2.txt -> 1.405736756324768
	quality average =0.0
100-300-3.txt -> 1.3786149263381957
	quality average =0.009999999999999998
100-300-4.txt -> 1.362633967399597
	quality average =0.009999999999999998
100-300-5.txt -> 1.3813140869140625
	quality average =0.0
100-300-6.txt -> 1.3564950227737427
	quality average =0.030000000000000006
100-300-7.txt -> 1.3992084503173827
	quality average =0.0
100-300-8.txt -> 1.4693774223327636
	quality average =0.0
100-300-9.txt -> 1.5311082363128663
	quality average =0.009999999999999998
100-300-10.txt -> 1.434179162979126
	quality average =0.019999999999999997
